FID,LOCATIONID,NUMSPACES,x,y
1,BF27869,0,-122.698544582503,45.5302160131081
2,BF27873,4,-122.698646150521,45.5330405744712
3,BF27874,4,-122.698674460028,45.533681666453
4,BF27875,4,-122.698705318955,45.5346038449155
5,BF27877,2,-122.698731163486,45.5359830278925
6,BF27887,4,-122.69975496533,45.5357704398194
7,BF27925,2,-122.701099383086,45.5405560608193
8,BF27952,2,-122.702788102633,45.5361032185691
9,BF27955,4,-122.703583610224,45.5293008606813
10,BF27978,0,-122.704788177358,45.536596081911
11,BF27979,2,-122.704805044126,45.536920606013
12,BF27981,4,-122.705930089696,45.5408380137405
13,BF28036,0,-122.672486612966,45.5236425458291
14,BF28037,0,-122.672505854879,45.5241612022269
15,BF28038,8,-122.672534671935,45.5248615539787
16,BF28041,0,-122.672257234446,45.5234425621829
17,BF28043,0,-122.672349018912,45.5249851417827
18,BF28044,0,-122.67237243889,45.5255255192193
19,BF28114,6,-122.673492223926,45.5234719665893
20,BF28115,4,-122.673526685995,45.5243876210488
21,BF28116,8,-122.673544693623,45.5248660501223
22,BF28117,8,-122.673575129443,45.5257032315794
23,BF28118,4,-122.673603986025,45.5265075779361
24,BF28121,4,-122.672928227454,45.5234357945099
25,BF28122,6,-122.673320157023,45.5241841728685
26,BF28123,6,-122.673347172058,45.5249001714598
27,BF28124,6,-122.673380015363,45.5256704663497
28,BF28147,6,-122.674493328038,45.5235630156752
29,BF28148,6,-122.674516384198,45.5242025875146
30,BF28149,6,-122.674539646072,45.5248314737369
31,BF28150,6,-122.674569212323,45.52561703196
32,BF28151,6,-122.674595813235,45.5263320550839
33,BF28153,6,-122.674332223276,45.523578753798
34,BF28154,6,-122.674355438438,45.5242051628835
35,BF28155,6,-122.674381455446,45.5249118208936
36,BF28156,8,-122.674407732066,45.5256158462628
37,BF28157,8,-122.674431608388,45.5262711403151
38,BF28189,0,-122.675522905151,45.524289801951
39,BF28194,2,-122.675344519499,45.5236040074151
40,BF28197,0,-122.675427528323,45.5255473432542
41,BF28224,6,-122.676537216295,45.5242182021027
42,BF28226,8,-122.676601960572,45.5255597578456
43,BF28227,2,-122.676618625219,45.5264206904199
44,BF28228,8,-122.676634830827,45.5268929479197
45,BF28231,14,-122.676376023498,45.5235564550807
46,BF28233,8,-122.676432677548,45.5247673916601
47,BF28235,2,-122.676484212998,45.5263644662378
48,BF28306,4,-122.678343111188,45.5232474794179
49,BF28308,2,-122.678440620618,45.5249162282935
50,BF28309,2,-122.678474831159,45.5258456835149
51,BF10185,0,-122.654185882469,45.5233546786649
52,BF28310,6,-122.678484910256,45.5263150936589
53,BF10429,6,-122.530709042052,45.5250981901075
54,BF28352,6,-122.68026077447,45.5254829309535
55,BF28354,2,-122.680308993339,45.5268571417968
56,BF1045,0,-122.675373526998,45.549537842679
57,BF1046,2,-122.675762297191,45.5495306302385
58,BF28355,4,-122.680342762808,45.5276669361097
59,BF28356,8,-122.680375902557,45.5284599039884
60,BF10464,0,-122.653706333923,45.5259493559838
61,BF1051,10,-122.666955754932,45.5495798056649
62,BF28357,0,-122.680392801664,45.5290558352466
63,BF11,5,-122.678640806585,45.5300488878985
64,BF28358,0,-122.680415587431,45.5296679761414
65,BF11044,0,-122.651582585437,45.5351848823168
66,BF28361,5,-122.680046740074,45.524058832402
67,BF11048,24,-122.651605344255,45.5402365773561
68,BF28362,12,-122.680113222591,45.5250157480853
69,BF28363,2,-122.680102397892,45.5256284389452
70,BF1112,18,-122.675142385085,45.5568359410573
71,BF28365,2,-122.680147891273,45.5266875125366
72,BF11318,4,-122.650623141595,45.526887272561
73,BF28619,0,-122.677664628027,45.5262502914147
74,BF11320,0,-122.650530238726,45.533144890634
75,BF28621,2,-122.677335445781,45.5233501924705
76,BF11324,0,-122.650557097455,45.5351933292866
77,BF28622,0,-122.67735972904,45.5239226085925
78,BF11557,2,-122.649545221644,45.5341691853589
79,BF28623,0,-122.677396603086,45.5249075230017
80,BF1167,2,-122.674035956201,45.5625696297329
81,BF28624,6,-122.677414326847,45.5255092536145
82,BF11705,8,-122.648518682633,45.5340463470415
83,BF28625,0,-122.677447846583,45.526292889169
84,BF28793,12,-122.670838818867,45.5238201936481
85,BF11746,2,-122.648430287511,45.5245723632088
86,BF28794,6,-122.671794628126,45.5238006881763
87,BF11752,0,-122.64837965397,45.5348553828053
88,BF28795,0,-122.672775075478,45.5237853931931
89,BF11882,6,-122.647587591417,45.5254203751709
90,BF28796,6,-122.673968785574,45.5237647384765
91,BF28798,8,-122.675644579261,45.5237283022491
92,BF12085,2,-122.646742802249,45.5348468458023
93,BF12116,0,-122.646405773219,45.5259124749638
94,BF28799,2,-122.676601408108,45.5237157834072
95,BF28800,2,-122.678324227703,45.5236879355667
96,BF12170,0,-122.664624927705,45.5313048858196
97,BF12172,4,-122.664603558581,45.5353276040961
98,BF28802,6,-122.679334615005,45.5236639703135
99,BF12210,2,-122.64555460781,45.5254370970822
100,BF28804,28,-122.681855442203,45.5236360198594
101,BF28805,2,-122.682441649519,45.5236074941442
102,BF28806,6,-122.6836777583,45.5235880364311
103,BF12215,0,-122.645531292036,45.5288372248748
104,BF28818,4,-122.672927734279,45.5238968692446
105,BF12239,0,-122.645378043042,45.5249283969449
106,BF28819,6,-122.673818803752,45.5238796238686
107,BF12270,4,-122.644531459939,45.5270030288699
108,BF28821,2,-122.675811053253,45.5238535484171
109,BF12326,0,-122.644745643455,45.5345133517099
110,BF12378,12,-122.64325269825,45.5390838709535
111,BF28822,2,-122.676809550455,45.5238265710648
112,BF12418,6,-122.643321310673,45.5284003433029
113,BF28825,10,-122.679796780253,45.5237700950588
114,BF12425,2,-122.642898684773,45.5348951027881
115,BF28826,8,-122.680830914519,45.523756602588
116,BF12825,0,-122.639044247451,45.5353014534082
117,BF12942,24,-122.637236955677,45.5474541228932
118,BF28827,0,-122.681818595106,45.5237349779986
119,BF28830,2,-122.684334005463,45.5236892874589
120,BF12985,0,-122.637343721347,45.5230252376079
121,BF12990,2,-122.637268080505,45.5269643801069
122,BF28890,4,-122.673000873313,45.5244938432391
123,BF12992,0,-122.637249604855,45.5279191110658
124,BF28891,4,-122.67394945293,45.5244772148226
125,BF1301,2,-122.688933830672,45.5839877588371
126,BF28893,0,-122.675761635133,45.5244495272174
127,BF13033,0,-122.637169885661,45.5232592015723
128,BF28894,8,-122.676846076852,45.5244256365536
129,BF13034,17,-122.637177403662,45.5238358272234
130,BF28895,1,-122.677702128199,45.5244077298776
131,BF13035,12,-122.637165379712,45.5245405168198
132,BF28897,6,-122.679518174055,45.5243704683399
133,BF28900,8,-122.682496686602,45.5243212803031
134,BF13036,2,-122.637130377755,45.5255080565867
135,BF28904,4,-122.688066107514,45.5242068464395
136,BF28910,21,-122.67088038661,45.5248588181532
137,BF13038,4,-122.637109170328,45.5268056664039
138,BF28912,4,-122.67263960594,45.5246188586148
139,BF28913,4,-122.673952619492,45.5245955231206
140,BF28914,0,-122.675266343611,45.5245663678998
141,BF13042,6,-122.637060287603,45.5294174798398
142,BF28916,2,-122.676632921907,45.5245358922601
143,BF13137,0,-122.635841039303,45.5229900407809
144,BF28919,2,-122.679414012602,45.5244923868919
145,BF132,0,-122.558622227586,45.5227726926642
146,BF13206,4,-122.663753569066,45.5352802749854
147,BF13240,0,-122.635057908699,45.5353167635083
148,BF13279,0,-122.634930722526,45.5349476335755
149,BF13420,12,-122.631796248972,45.5230887218708
150,BF13471,2,-122.632126712215,45.5364974326964
151,BF13723,4,-122.629596345808,45.5424522523421
152,BF13928,2,-122.624889701928,45.5346199254078
153,BF13976,12,-122.623899029952,45.5349217193077
154,BF13999,2,-122.623300954093,45.5345496683156
155,BF14024,2,-122.623065959307,45.5356068863165
156,BF14117,0,-122.662599296808,45.5318514972468
157,BF14119,2,-122.662589844734,45.5332178502905
158,BF14129,0,-122.62234044395,45.5345858483505
159,BF14132,2,-122.622049762599,45.5379514311534
160,BF14148,2,-122.621862515965,45.5360303664795
161,BF14175,4,-122.621301584545,45.5351487618163
162,BF14176,0,-122.621023428404,45.5357901368334
163,BF14178,0,-122.621002929748,45.5376557676079
164,BF14205,0,-122.621213268475,45.533962396589
165,BF14206,8,-122.62126153226,45.5351583672302
166,BF14207,0,-122.620850154165,45.5360821467888
167,BF14208,4,-122.620843315291,45.5369202435797
168,BF14209,0,-122.620829271928,45.5379444959676
169,BF14238,0,-122.620394931997,45.534975241133
170,BF14241,18,-122.620003774081,45.5371035961553
171,BF14277,2,-122.619828308852,45.5358363763064
172,BF14279,14,-122.619844906125,45.5371667524359
173,BF14317,4,-122.618390910972,45.5295160338625
174,BF14318,4,-122.618999649833,45.5357941928959
175,BF14335,8,-122.618823600699,45.5357605859614
176,BF14336,4,-122.618826631614,45.5367825080545
177,BF14355,0,-122.617989955132,45.5363548869247
178,BF14357,4,-122.618006387115,45.5372167510028
179,BF14366,0,-122.617213266347,45.5262419677118
180,BF14373,8,-122.617819517773,45.536351845852
181,BF14387,2,-122.617155196552,45.5359163151006
182,BF14406,4,-122.616850214022,45.5359798766836
183,BF14407,2,-122.616851461782,45.5366008489432
184,BF14559,0,-122.614053492641,45.5385996275135
185,BF14661,0,-122.612037232969,45.5396045368194
186,BF15570,0,-122.594215823745,45.5345129401795
187,BF15576,4,-122.594258861132,45.5461193950671
188,BF15676,8,-122.659782319316,45.5240588984856
189,BF15679,12,-122.659718601813,45.5287872943755
190,BF16319,0,-122.658518272032,45.5351923375983
191,BF15718,6,-122.659598655163,45.5239277706844
192,BF16328,0,-122.658554196558,45.5483695039501
193,BF15915,10,-122.588182263088,45.5439071846105
194,BF16374,2,-122.581377711661,45.5265709663857
195,BF15984,4,-122.586868849786,45.5260575582947
196,BF16409,2,-122.579760932795,45.5521463439955
197,BF16078,10,-122.584724559525,45.5275883059215
198,BF1659,8,-122.695180738514,45.5871140027065
199,BF16770,18,-122.657726174445,45.523094356703
200,BF1608,12,-122.694660122586,45.5626203893631
201,BF16773,0,-122.657722874933,45.5255528374948
202,BF16267,0,-122.658715616628,45.529896334966
203,BF16273,4,-122.658690193407,45.5347536572862
204,BF16775,8,-122.657690072052,45.534021163555
205,BF16283,4,-122.658671758181,45.542455723432
206,BF16778,2,-122.657662396755,45.5361697996296
207,BF16309,2,-122.658597325573,45.523358767093
208,BF16821,0,-122.657510343418,45.5349320804857
209,BF16310,4,-122.658579884782,45.523915093915
210,BF170,6,-122.659840508587,45.5228552134993
211,BF16316,13,-122.657496517448,45.532700229484
212,BF17058,0,-122.562050334355,45.5280028018176
213,BF17089,2,-122.656736152848,45.5320995102732
214,BF171,2,-122.659321078435,45.5228380640995
215,BF17129,0,-122.656557078188,45.5249024069429
216,BF172,2,-122.659015784189,45.5228387646017
217,BF17670,6,-122.663761697921,45.5590719715149
218,BF17672,4,-122.661717420693,45.5590517989743
219,BF17673,4,-122.660778447659,45.5590555684322
220,BF17887,6,-122.666535976691,45.5494762352594
221,BF18035,0,-122.661366070721,45.5404747267973
222,BF181,4,-122.651293696225,45.5228101950548
223,BF18176,6,-122.66406956045,45.5351768110044
224,BF18179,0,-122.66132092409,45.5351591808429
225,BF18181,0,-122.659027648239,45.5351501971226
226,BF18182,2,-122.658329713857,45.5351488316625
227,BF18184,0,-122.65586818535,45.5351377047339
228,BF18185,0,-122.655035473132,45.5351351959362
229,BF18186,0,-122.654107916787,45.5351283692625
230,BF18188,0,-122.652189757636,45.5351249763757
231,BF18189,2,-122.650871101766,45.535120506222
232,BF18190,2,-122.650069429037,45.5351205458644
233,BF18191,2,-122.649133110524,45.5351214570106
234,BF18192,3,-122.647227090307,45.5351130364583
235,BF18194,0,-122.643984576374,45.5351010764025
236,BF18195,10,-122.642116602504,45.5351005774114
237,BF18199,2,-122.637296808628,45.5352510491641
238,BF18200,0,-122.635347713295,45.5352468949005
239,BF18201,2,-122.633712524356,45.5352432817858
240,BF18203,0,-122.629823527048,45.5352440412824
241,BF18204,2,-122.628233298789,45.5352443867369
242,BF18206,0,-122.624483523283,45.5352422888398
243,BF18208,0,-122.622775985828,45.5352317509016
244,BF18212,0,-122.619648260418,45.5351776560792
245,BF18261,2,-122.661226135658,45.5349970224884
246,BF18265,2,-122.657288505357,45.5349700278274
247,BF18266,2,-122.656318002355,45.5349756916733
248,BF18267,2,-122.651856500632,45.5349555343949
249,BF18268,2,-122.650917635396,45.5349542444396
250,BF18269,2,-122.650060029065,45.5349479595252
251,BF18270,2,-122.648716291334,45.5349512278318
252,BF18271,2,-122.6473988958,45.5349450769465
253,BF18272,2,-122.646209363769,45.5349400146574
254,BF18273,2,-122.643962140051,45.5349313253895
255,BF18274,4,-122.642153037273,45.5349281476933
256,BF18275,0,-122.640606131168,45.5350666824972
257,BF18276,0,-122.639489169537,45.535072946004
258,BF18278,0,-122.637587368706,45.5350730630436
259,BF18279,0,-122.635486675483,45.535071737224
260,BF18280,0,-122.634567119534,45.5350736828501
261,BF18282,0,-122.628286910246,45.5350590352792
262,BF18286,4,-122.621700667398,45.535069342946
263,BF18288,2,-122.618929040455,45.5350617624284
264,BF184,6,-122.648048636466,45.5228019388163
265,BF18435,0,-122.639298892885,45.5267625768954
266,BF18485,2,-122.66104163158,45.563438797556
267,BF185,4,-122.647075593028,45.5228016568529
268,BF186,0,-122.646075252484,45.5227936083093
269,BF187,0,-122.64417414156,45.5227640443145
270,BF188,10,-122.642619580011,45.5227780952858
